date,package,version,cumulative,clamped
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.2,211,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.3,91,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.4,102,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.5,113,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.6,126,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.7,130,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.8,100,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.3.9,126,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.4.0,146,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.5.0,157,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.6.0,120,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.7.0,164,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.8.0,113,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.9.0,192,
2026-08-08,Ank.DocToolkit,0.13.0,0,
2026-08-08,Ank.DocToolkit,0.14.0,0,
2026-08-08,Ank.DocToolkit,0.15.0,0,
2026-08-08,Ank.DocToolkit,0.16.0,0,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.13.0,0,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.14.0,0,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.15.0,0,
2026-08-08,Ank.DocToolkit.Extensions.DependencyInjection,0.16.0,0,
2026-08-09,Ank.DocToolkit,0.1.0,351,
2026-08-09,Ank.DocToolkit,0.10.0,407,
2026-08-09,Ank.DocToolkit,0.11.0,1009,
2026-08-09,Ank.DocToolkit,0.12.0,827,
2026-08-09,Ank.DocToolkit,0.13.0,271,
2026-08-09,Ank.DocToolkit,0.14.0,275,
2026-08-09,Ank.DocToolkit,0.15.0,202,
2026-08-09,Ank.DocToolkit,0.16.0,304,
2026-08-09,Ank.DocToolkit,0.18.0,102,
2026-08-09,Ank.DocToolkit,0.18.1,91,
2026-08-09,Ank.DocToolkit,0.19.0,0,
2026-08-09,Ank.DocToolkit,0.19.1,0,
2026-08-09,Ank.DocToolkit,0.2.0,1479,
2026-08-09,Ank.DocToolkit,0.2.1,222,
2026-08-09,Ank.DocToolkit,0.2.2,93,
2026-08-09,Ank.DocToolkit,0.3.0,91,
2026-08-09,Ank.DocToolkit,0.3.1,92,
2026-08-09,Ank.DocToolkit,0.3.10,98,
2026-08-09,Ank.DocToolkit,0.3.11,121,
2026-08-09,Ank.DocToolkit,0.3.12,132,
2026-08-09,Ank.DocToolkit,0.3.2,213,
2026-08-09,Ank.DocToolkit,0.3.3,89,
2026-08-09,Ank.DocToolkit,0.3.4,95,
2026-08-09,Ank.DocToolkit,0.3.5,117,
2026-08-09,Ank.DocToolkit,0.3.6,125,
2026-08-09,Ank.DocToolkit,0.3.7,118,
2026-08-09,Ank.DocToolkit,0.3.8,105,
2026-08-09,Ank.DocToolkit,0.3.9,121,
2026-08-09,Ank.DocToolkit,0.4.0,147,
2026-08-09,Ank.DocToolkit,0.5.0,159,
2026-08-09,Ank.DocToolkit,0.6.0,123,
2026-08-09,Ank.DocToolkit,0.7.0,277,
2026-08-09,Ank.DocToolkit,0.8.0,405,
2026-08-09,Ank.DocToolkit,0.9.0,199,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.10.0,108,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.11.0,297,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.12.0,596,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.13.0,139,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.14.0,255,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.15.0,120,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.16.0,271,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.18.0,91,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.18.1,72,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.19.0,0,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.19.1,0,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.2.1,225,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.2.2,98,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.0,88,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.1,92,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.10,97,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.11,122,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.12,132,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.2,211,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.3,91,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.4,102,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.5,113,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.6,126,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.7,130,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.8,100,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.3.9,126,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.4.0,146,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.5.0,157,
